MaterialType,Taxa
土器付着物・内面(おこげ),
土器付着物･内面（おこげ）,
土器付着物･内面(おこげ),
土器付着物（内面胴下半）,
土器付着物（内面口縁部）,
土器付着物（内面口縁）,
土器付着物（内面口縁～胴上半）,
土器付着物・甕外面（煤類）,
土器付着物 漆,
土器付着物 漆?,
土器付着物(漆塗膜),
"土器付着物,底部下位・外面",
"土器付着物,胴部下位内面",
"土器付着物,胴部下位・内面",
"土器付着物,胴外下",
"土器付着物,胴部下位外面",
"土器付着物,胴部下位・外面",
"土器付着物,膜状,胴部中位外面",
"土器付着物,胴部中位・内面",
"土器付着物,胴部中位・外面",
"土器付着物,頸部",
"土器付着物,頸部外面",
"土器付着物,頸外",
"土器付着物,頚外",
土器付着物 有機物(胎土混じり),
"土器付着物,胴外中～下",
"土器付着物,外面",
土器付着物・外面,
土器付着物吹口縁外・胴外,
土器付着物･外面(ふきこぼれ),
土器付着物（外面胴下半）,
土器付着物（外面頸部）,
土器付着物（外面頸部～胴上半）,
土器付着物（外面口縁）,
"土器付着物,外面（試料は２点）",
土器付着物 樹脂?,
"土器付着物,口縁突帯下部",
"土器付着物,口縁外上",
"土器付着物,口縁内下",
"土器付着物,口縁内",
"土器付着物,口縁部内面",
土器付着物 口縁内,
土器付着物（口縁内）,
土器付着物・口縁内面,
"土器付着物,口縁部・内面",
"土器付着物,口縁外",
"土器付着物,口縁部外面",
"土器付着物,口縁外面",
"土器付着物,口縁外下",
"土器付着物,口胴外",
土器付着物 口縁外,
土器付着物（口縁外面）,
土器付着物（口縁外）,
"土器付着物,口縁外・胴外",
"土器付着物 口縁外,胴外",
土器付着物（口縁外・胴外）,
"土器付着物 口縁外,胴内",
土器付着物（口縁部外側）甕,
"土器付着物,口縁部・外面",
土器付着物(お焦げ),
土器付着物（浅鉢頸部外側）,
"土器付着物,胎土食込炭化物,内面",
"土器付着物,煤,",
"土器付着物,吹,",
土器付着物（煤類）,
土器付着物（煤類）焼石付着,
"土器付着物,煤,底部内面",
"土器付着物,煤,底部外面",
"土器付着物,煤（アスファルト？）,胴外",
"土器付着物,煤,胴部中位外面",
"土器付着物,吹,胴部中位外面",
"土器付着物,煤状,胴部中位外面",
"土器付着物,煤,胴部破片",
"土器付着物,煤,胴部外面破片",
"土器付着物,煤,胴部破片・外面",
"土器付着物,煤,胴外",
"土器付着物,煤,胴外面",
"土器付着物,煤?,胴外",
"土器付着物,煤,胴部外面",
"土器付着物,吹,胴外",
"土器付着物,煤状,胴外",
"土器付着物,吹,胴部外面",
"土器付着物,煤,胴部外",
土器付着物吹胴外,
土器付着物煤胴外,
"土器付着物,煤,胴外，底部外面",
"土器付着物,煤,胴外（頸）",
"土器付着物,吹,胴内",
"土器付着物,煤,胴部内面",
"土器付着物,煤,口内",
"土器付着物,煤,胴内上",
土器付着物（煤・甕胴外）,
土器付着物（煤・甕胴外面）,
"土器付着物,煤（漆？）,口縁外・胴外",
"土器付着物,煤,底部下位・外面",
"土器付着物,煤,胴外下",
"土器付着物,煤?,胴外下",
"土器付着物,煤,胴下部外面",
"土器付着物,煤,胴下半外面",
"土器付着物,煤,胴部下位外面",
"土器付着物,煤,胴部下位・外面",
"土器付着物,煤,胴部最大径・外面",
"土器付着物,煤,胴外中",
"土器付着物,吹,胴外中",
"土器付着物,煤,胴部中位・外面",
"土器付着物,煤,口縁部～胴部上位・外面",
"土器付着物,煤,頸部・外面",
"土器付着物,煤,頸外",
"土器付着物,煤,頸部外面",
"土器付着物,吹,頸部外面",
"土器付着物,煤,頸部外",
"土器付着物,煤,頸外面",
"土器付着物,煤,頚部外面",
"土器付着物,煤,頚外",
"土器付着物,煤,屈曲部外面",
土器付着物（煤類）壺,
"土器付着物,吹,口縁外上",
"土器付着物,煤,口～胴外面",
"土器付着物,煤,口縁内面",
"土器付着物,煤,口縁内",
"土器付着物,煤?,口縁内",
"土器付着物,煤,口縁外面",
"土器付着物,煤,口縁外",
"土器付着物,吹,口縁外",
"土器付着物,煤?,口縁外",
"土器付着物,煤?,口縁外下",
"土器付着物,煤,口縁部外面",
"土器付着物,煤,口外",
"土器付着物,吹,口胴外",
"土器付着物,吹,口縁部外面",
土器付着物煤口縁外,
"土器付着物,煤,口縁外・胴外",
"土器付着物,吹,口縁外・胴外",
"土器付着物,煤,口縁外，胴内",
"土器付着物,吹,口縁外・胴外下",
"土器付着物,煤,口縁外・胴外下",
"土器付着物,煤,口縁外・胴外上",
"土器付着物,吹,口縁外・胴外上",
"土器付着物,煤,口縁部・外面",
"土器付着物,煤,坏",
"土器付着物,吹，煤,胴部中位外面",
"土器付着物,煤，吹,口縁外・胴外",
"土器付着物,煤，吹,口縁外,胴外中",
"土器付着物,煤,胴外上",
"土器付着物,吹,胴外上",
"土器付着物,煤,胴外中上",
"土器付着物,煤?,胴外上",
"土器付着物,煤,胴部上位外面",
"土器付着物,煤,胴部上位外面（胴上外）",
"土器付着物,煤,胴部上位・外面",
"土器付着物,煤,胴上位・外面",
"土器付着物,煤,胴部上位〜中位・外面",
"土器付着物,口縁下外面",
"土器付着物,口縁部下外面（口外）",
"土器付着物,口縁部下面・外面",
"土器付着物,口縁下",
"土器付着物,不明,",
"土器付着物,不明,不明",
"土器付着物,胴部上位",
"土器付着物,屈曲部上位外",
"土器付着物,胴部上位・内面",
"土器付着物,胴上外",
"土器付着物,胴部上位外面",
"土器付着物,胴外上",
"土器付着物,胴部上位・外面",
"土器付着物,上位・外面",
"土器付着物,吹?,胴外",
"土器付着物,吹,身内面",
"土器付着物,吹?,胴部最大径下位・外面",
"土器付着物,胴部最大径部・外面",
"土器付着物,吹?,口縁部外面",
"土器付着物,吹?,口縁外・胴外",
土器に付着した炭化物,
土器に付く炭化物,
土器外面付着炭化物,
土器片付着炭化物,
土器外面付着煤（土師器甕）,
土器口縁内面に付着,
出土木製品（軸）,
出土木（枝）,
微粒炭,
細砂混じりシルト,
クッキー状炭化物,
材化石,
フルボ酸,
炉址内採集土,
桁(梁),
桁(梁?),
粒状炭化物,
黒鉛,
礫付着炭化物,
礫混じり砂質シルト,
灰色粘土質シルト,
灰色腐植混じり粘土知るシルト,
灰色腐植混じりシルト,
灰色砂質シルト,
灰色シルト,
灰褐色粘土質シルト,
東釧路Ⅱ式土器,
腐植酸,
腐植酸を抽出分離した残渣,
腐植質粘土,
humic clay,
humic sand,
humic slit,
腐植化した植物遺体,
全腐植,
腐植,
腐植質の砂層,
腐植層,
腐植混じり土壌,
腐植物片,
腐植質泥,
腐植質土壌,
腐植質砂,
腐植質砂層,
腐植質砂質シルト,
腐植質堆積物,
腐植質シルト,
腐植質シルト質粘土,
腐植土,
腐植土壌,
腐植質土,
腐植材,
土壌?,
鉄,
鉄鍋付着土壌,
鉄滓付着炭化物,
鉄製品,
鉄塊,
鉄滓,
続縄文時代の焼土フローテーションサンプル,
"漆,",
漆,
漆膜,
漆膜片,
漆膜片(漆),
漆膜（漆塗鉢口縁外）,
漆片,
"漆,底部内面",
"漆,アスファルト？,底部内面",
"漆,黒漆？,口縁外",
漆椀,
漆椀塗膜片,
"漆,塗膜,胴外",
漆塗椀片,
漆塗り土器の漆膜(赤褐色),
漆塗膜,
漆塗膜片,
漆塗膜片（No.6804小刀付着）,
"漆,塗膜,胴内",
漆塊,
漆皮膜,
"漆,胴内",
"漆,胴内，底部内面",
"漆,胴内・胴外",
漆(木胎部),
"漆,胴内下",
"漆,漆膜,",
"漆,漆膜,底部内面",
"漆,漆膜,胴外",
"漆,漆膜,胴内",
"漆,漆膜,口縁内",
"漆,漆膜,口縁外・口縁内",
"漆,漆片,",
"漆,漆片,胴外・胴内",
"漆,漆片,胴内",
"漆,漆？,胴外",
漆漆？胴外,
"漆,漆？,胴内",
"漆,漆？,胴内全",
漆状有機物,
"漆,胴下部",
漆の塊?,
漆紙,
漆紙様資料,
"漆,赤漆,口縁外・内",
"漆,口縁内",
漆丸盆塗膜片,
"漆,生漆,底部内面",
"漆,生漆,胴内",
"漆,生漆,口縁内",
漆樹液,
漆液,
漆様炭化物(黒目うるし),
漆器の塗膜,
漆器椀塗膜,
漆器塗膜,
縄文晩期末緑ヶ丘式期土器付着物・内面（おこげ）,
明褐灰色粘土,
亜炭,
亜炭？,
ローム試料,
フローテーション採集資料,
石臼付着物,
微細な炭化物,
微細植物片,
微細な植物遺体,
(土壌混じり)炭化物,
泥流,
NA,
自然木,
自然木？,
自然流木,
オリーブ褐色土層,
有機物,
有機質,
植物質,
有機質の堆積物,
有機質製品,
有機質粘土,
有機質片,
有機質泥,
有機質砂質シルト,
有機質堆積物,
有機質シルト,
有機質土壌,
植物質土壌,
有機質年土,
有機質土,
有機質土(黒色土壌),
有機物片,
有機物混粘土,
有機物質土壌,
有機物細片,
organic sediment,
有機堆積物,
有機性堆積物,
有機土壌,
"その他,",
"その他,炭化物,",
"その他,砥石付着物,胴外",
"その他,鉄,袋部",
"その他,鉄,袋部刃先近く",
"その他,植物繊維,",
"その他,植物遺体,",
"その他,土壌,",
"その他,不明,",
古土壌,
緑青,
緑青錆,
peat,
ピート,
泥炭,
泥炭及び腐植質シルト,
泥炭･炭化物,
泥炭質粘土,
泥炭に含まれる植物片,
泥炭または泥炭質粘土,
泥炭質堆積物,
泥炭質シルト,
泥炭質土,
泥炭質土壌,
泥炭中の未分解の植物体,
泥炭(木本質),
木片,
樹木片,
木片(矢板材),
木片（付木）,
木片（樹皮）,
木片（板）,
木片(枝),
木片(粗朶),
木片･炭化木,
木片（柱材）,
木片(芯),
木片（横木）,
木片(横板材),
木片（丸太材）,
木片(丸太),
木片No.1,
木片No.2,
木片No.3,
木片No.4,
木片No.5,
木片No.6,
木片No.7,
木片No.8,
木片No.9,
木片(北中柱) 最外5年輪分,
木片(北地中梁) 最外3年輪分,
木片(北西礎板) 最外2〜3年輪分,
木片(杭材),
木片（板状）,
木片(柱根片),
木片（転用材140）,
木片（転用材77b）,
木片（腐植体サンプル）,
木片(土付),
木片(南地中梁) 最外2年輪分,
木片(南西礎板) 最外1〜2年輪分,
木片（杭）,
木片（杭②小）,
木片(杭) 最外2〜3年輪分,
木片(杭) 最外6〜7年輪分,
木片(板材),
木片（種類不明の広葉樹）,
木片（原材）,
木片（加工木）,
杭材外側,
植物繊維,
植物片,
植物片(炭化物),
植物片(土付),
植物,
植物質遺物,
植物遺物,
植物遺体混じり砂,
植物細片,
植物生材,
植物生材(樹皮),
植物生材(散孔材),
植物遺体,
植物遺体（腐植）,
植物遺体含む粘土,
植物遺体を含む粘土,
植物遺体(1a層),
植物遺体まじり砂,
植物遺体混じり有機質土壌,
植物遺体（ほとんどが灰化）,
植物遺体（複数破片、炭化未炭化）,
植物遺体（木片）,
植物遺体(木の芽),
植物遺体（生試料・材（最外以外年輪））,
植物遺体（不明）,
植物遺体(木炭),
plant fragment,
plant material,
草木泥炭,
板状製品,
板状鉄斧,
板状木製品,
柱根,
続縄文時代の焼土,
土器付着炭化物（底内）,
土器付着炭化物（底部内面）,
土器付着炭化物（胴内面）,
土器付着炭化物（胴外）,
土器付着炭化物（胴部外面）,
土器付着炭化物（胴外面）,
土器付着炭,
土器付着炭化物,
土器付着炭化物 炭質物,
土器付着炭化物(焦),
土器付着炭化物深鉢（口縁内）,
土器付着炭化物(内面底部),
土器付着炭化物(内面),
土器付着炭化物(吹きこぼれの可能性大),
土器付着炭化物(外面),
"土器付着炭化物（無文深鉢型土器胴部下部内面、お焦げ状に多量に付着）,SGMS-201a",
土器付着炭化物（復元No.遺10）,
土器付着炭化物（復元No.遺2）,
土器付着炭化物（復元No.遺5）,
土器付着炭化物（滋賀里Ⅰ式）深鉢胴部外面,
土器付着炭化物(煤),
土器付着炭化物(煤類),
土器付着炭化物（深鉢）,
土器付着炭化物（深鉢底内）,
土器付着炭化物（深鉢胴部内面）,
土器付着炭化物（深鉢胴部内面・焦）,
土器付着炭化物（深鉢胴外）,
土器付着炭化物（深鉢胴部外面）,
土器付着炭化物（深鉢 胴部外面）,
土器付着炭化物（深鉢・胴部外面）,
土器付着炭化物（深鉢胴外口縁部）,
土器付着炭化物（深鉢外面口縁部）,
土器付着炭化物（深鉢胴内）,
土器付着炭化物（深鉢・胴部内面）,
土器付着炭化物（深鉢胴部下部内面）,
土器付着炭化物（深鉢外面）,
土器付着炭化物（深鉢口縁内）,
土器付着炭化物（深鉢口縁外）,
土器付着炭化物（深鉢口縁部外面）,
土器付着炭化物（深鉢 口縁部外面）,
土器付着炭化物（深鉢口唇～胴部上半外面）,
土器付着炭化物（深鉢肩部外面）,
土器付着炭化物（深鉢胴部上半外面）,
土器付着食物残渣,
土器付着炭化物（胴部内面）,
土器付着炭化物（内外面）,
土器付着炭化物 内面（おこげ）試料を採取した土器：個体番号No.2,
土器付着炭化物（甕・脚部外面）煤類,
土器付着炭化物（甕・肩～胴部外面）煤類,
土器付着炭化物（甕胴部外面）,
土器付着炭化物（甕外面）,
土器付着炭化物（甕・口縁部外面）ふきこぼれ,
土器付着漆,
土器付着漆膜,
土器付着漆?,
土器付着炭化物（胴下部～底部内面）,
土器付着炭化物（胴部下位外面）,
土器付着炭化物（胴部下部外面）,
土器付着炭化物（底部付近外面）,
土器付着炭化物（外面 後期初頭）,
"土器付着炭化物（無文深鉢型土器胴部上部外面、スス状に付着）,SGMS-201b",
土器付着炭化物（壺胴部外面）,
土器付着炭化物（壺外面）,
土器付着炭化物（口縁部内面）,
土器付着炭化物（口縁外）,
土器付着炭化物（口縁部外面）,
土器付着炭化物（口縁外面）,
土器付着炭化物（貝殻文平底 口縁部外面）,
土器付着炭化物（貝殻文尖底 口縁部外面）,
土器付着スス,
土器付着炭化物（スス）,
土器付着炭化物(スス),
土器付着煤,
土器付着煤(炭化物),
土器付着煤状炭化物,
土器付着炭化物（胴部上位外面）,
土器付着木質,
土器内面付着物,
土器内面付着炭化物,
土器内面付着物（内容物）,
土器内面付着物（口縁部）,
土器内面付着物（口縁部下部）,
陶器付着物(漆の可能性),
(粉状)炭化物,
瘤(植物片),
火砕堆積物,
地積物,
容器付着物,
縄,
丸杭,
丸木材,
住居内採取炭化物 炭質物,
砂混じり粘土,
砂混じり泥,
砂混じりシルト,
砂岩板状礫（付着炭化材）（樹種不明・樹皮）,
砂質粘土,
砂質粘土〜粘土質砂層の材片など植物遺体の多い部分,
砂質泥炭,
砂質シルト,
砂質土,
堆積物,
堆積物(黒色土),
堆積物(黒褐色土),
堆積物(暗灰色粘土),
堆積物･腐食土壌,
堆積物:未分解の植物遺体を多く含む中粒砂混じり有機質細粒砂質シルト,
堆積物:植物遺体混じりシルト質細粒砂,
堆積物:植物遺体混じりシルト,
堆積物:植物遺体混じり極細粒砂質シルト,
堆積物:植物遺体･極細粒砂混じりシルト,
堆積物(土壌),
堆積物:未分解植物遺体混じり有機質極細粒砂質シルト,
堆積物?,
堆積土壌,
シルト,
シルト混じり細砂,
シルト質粘土,
畑跡フローテーションサンプル,
小枝材,
土,
土壌,
堆積土,
土層（黒色土）,
土壌 灰･炭(フミン),
土壌 灰･炭(フミン酸),
土壌(黒色土),
土壌（黒灰色粘質土）,
土壌（黒色粘土）,
土壌(黒色腐植土),
土壌(黒色泥),
土壌(黒色泥質土),
土壌(黒色砂混じりシルト),
土壌(黒色砂質土),
土壌(焼土),
土中炭,
土壌化炭化物,
土壌・炭化物,
土壌(炭化物混じりの粘土),
土壌(炭化物混),
土壌(暗黒色土),
土壌(暗青灰色土),
土壌(黒褐色砂),
土壌(暗褐色砂混じり粘土質),
土壌(黒褐色砂質シルト),
土壌(黒褐色土),
