"MaterialType" "Materials_Details_EN" "Notes"
"5957" "生試料･材(クリ)" "material raw sample sample chestnut (Castanea crenata)" ""
"18571" "生試料･材(ケヤキ)" "material raw sample sample Japanese zelkova (Zelkowa serrata)" ""
"20937" "生試料･材(コナラ節)" "material raw sample sample Jolcham oak (Quercus serrata)" ""
"18572" "生試料･材(スギ)" "material raw sample sample Japanese cedar (Cryptomeria japonica)" ""
"5863" "生試料･材(タケ亜科)" "material raw sample sample bamboo (Bambusoideae)" ""
"7201" "生試料･材(トネリコ属)" "material raw sample sample Ash (Fraxinus sp.)" ""
"18564" "生試料･材（トネリコ属）" "material raw sample sample Ash (Fraxinus sp.)" ""
"18563" "生試料･材（ニガキ）" "material raw sample sample bitterwood (Picrasma quassioides)​" ""
"18463" "生試料･材(ハンノキ属)" "material raw sample sample alder (Alnus sp.)​" ""
"8510" "生試料･材(ヒノキ)" "material raw sample sample hinoki cypress (Chamaecyparis obtusa)" ""
"18576" "生試料･材(ブナ属)" "material raw sample sample beech (Fagus sp.)" ""
"18566" "生試料･材（ブナ属）" "material raw sample sample beech (Fagus sp.)" ""
"20179" "生試料･材(ブナ科シイ属)" "material raw sample sample chinquapin (Castanopsis sp.) Fagaceae" ""
"18575" "生試料･材(ヤナギ属)" "material raw sample sample willow (Salix sp.)" ""
"38269" "生試料・材（最外以外年輪）" "annual rings but not outermost, wood indet." ""
"38270" "生試料・材（最外年輪）" "material outermost year ring raw sample sample, wood indet." ""
"37727" "生試料・材（最終形成年輪）" "outermost rings, wood indet." ""
"37726" "生試料・材（最終形成年輪以外部位不明）" "outermost rings, wood indet." ""
"6090" "生試料･植物遺体" "plant plant remains raw sample sample" ""
"5028" "生試料・植物遺体 タケ亜科" "plant plant remains raw sample sample bamboo (Bambusoideae)" ""
"5027" "生試料・植物遺体 草本植物" "plant plant remains raw sample sample herbaceous plants" ""
"5029" "生試料･植物遺体 麻茎" "plant stem plant remains raw sample sample" ""
"10120" "生試料･植物遺体(不明胚珠または花柄)" "unknown plant plant remains raw sample sample" ""
"38433" "生試料・植物遺体（草本遺体）" "plant remains, herbaceous plants" ""
"6028" "生試料･植物遺体(葉など-タブノキ)" "plant plant remains raw sample sample Japanese bay tree (Machilus thunbergii)" ""
"17106" "生試料･種子(ひょうたん)" "seed raw sample sample bottle gourd (Lagenaria siceraria)" ""
"14784" "生試料･種実" "seed/nuts raw sample sample" ""
"27212" "生試料･種実(アカメガシワ種子)" "seed seed/nuts raw sample sample Japanese mallotus (Mallotus japonicus)" ""
"8630" "生試料･種実(エゴノキ核)" "seed/nuts raw sample sample snowbell tree (Styrax japonica)" ""
"14797" "生試料･種実(オニグルミ)" "seed/nuts raw sample sample walnut (Juglans ailanthifolia)" ""
"5860" "生試料･種実(オニグルミ核)" "seed/nuts raw sample sample walnut (Juglans ailanthifolia)" ""
"5865" "生試料･種実(オニビシ果実)" "seed/nuts fruit /achenes etc raw sample sample" ""
"5875" "生試料･種実(クリ果実)" "seed/nuts fruit /achenes etc raw sample sample chestnut (Castanea crenata)" ""
"7198" "生試料･種実(コナラ殻斗)" "seed/nuts shell raw sample sample oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"5876" "生試料･種実(トチノキ種子)" "seed seed/nuts raw sample sample horse chestnut (Aesculus turbinata) Aesculus??" ""
"38429" "生試料・種実（ヒシ属）" "fruit /nuts, water caltrop (Trapa sp.)" ""
"10119" "生試料･種実(ホオノキ種子)" "seed seed/nuts raw sample sample big-leaf magloia (Magnolia obovata)" ""
"16922" "生試料･種実(モモ核)" "seed/nuts raw sample sample peach (Amygdalus persica syn. Prunus)" ""
"14785" "生試料･草本" "raw sample sample herbaceous plants" ""
"5866" "生試料(タケ亜科)" "raw sample sample bamboo (Bambusoideae)" ""
"37803" "生試料（トチノキ果皮）" "pericarp raw sample sample, horse chestnut (Aesculus turbinata)" ""
"5892" "生試料(植物遺体)" "plant plant remains raw sample sample" ""
"33937" "畑跡フローテーションサンプル" "flotation sample from field" ""
"41601" "瘤(植物片)"  "Needs translation"
"38989" "石炭" "coal?, coal" ""
"18550" "石臼付着物" "stone mill deposits" ""
"34018" "砂岩板状礫（付着炭化材）（樹種不明・樹皮）" "unknown carbonized material bark plank sand residue" ""
"25827" "砂混じりシルト" "silt sand" ""
"25844" "砂混じり泥" "sand" ""
"25831" "砂混じり粘土" "clay sand" ""
"6638" "砂質シルト" "silt sand" ""
"22710" "砂質土" "sand" ""
"7466" "砂質泥炭" "peat sand" ""
"22276" "砂質粘土" "clay sand" ""
"5743" "砂質粘土〜粘土質砂層の材片など植物遺体の多い部分" "plant material plant remains clay sand" ""
"29270" "砥石付着炭化物" "charcoal on grindstone" ""
"10923" "礫付着炭化物" "carbonized material residue" ""
"22705" "礫混じり砂質シルト" "silt sand" ""
"9474" "種" "seed" ""
"5809" "種子" "seed" ""
"34925" "種子 クルミ" "seed walnut (Juglans)" ""
"35087" "種子・堅果類？" "seed nut" ""
"25891" "種子(アカガシ亜属殻斗)" "seed shell Japanese evergreen oak (Quercus acuta)" ""
"37370" "種子（アカガシ近似種果実）" "seed or similar fruit /achenes etc, Japanese evergreen oak (Quercus acuta)" ""
"37537" "種子（イヌガヤ）" "seed, plum yew (Cephalotaxus harringtonia)" ""
"38499" "種子（イネ胚乳）" "seed, rice (Oryza sativa)" ""
"29739" "種子(エゴノキ1個)" "seed snowbell tree (Styrax japonica)" ""
"32920" "種子(オニクルミ)" "seed walnut (Juglans ailanthifolia) walnut (Juglans)" ""
"6336" "種子(オニグルミ)" "seed walnut (Juglans ailanthifolia)" ""
"30432" "種子(オニグルミの殻)" "seed nut shell walnut (Juglans ailanthifolia)" ""
"7756" "種子(オニグルミ核)" "seed walnut (Juglans ailanthifolia)" ""
"33901" "種子（キハダ属）" "seed amur cork (Phellodendron)" ""
"6477" "種子(クサギ)" "seed harlequin gloryblower (Clerodendrum trichotomum)" ""
"32921" "種子(クスノキ)" "seed camphor tree (Cinnamomum camphora)" ""
"21004" "種子(クリ)" "seed chestnut (Castanea crenata)" ""
"16777" "種子(クルミ)" "seed walnut (Juglans)" ""
"16724" "種子(クルミ殻)" "seed shell walnut (Juglans)" ""
"11892" "種子(コムギ胚乳)" "seed wheat (Triticum)" ""
"6025" "種子(シイ種実)" "seed seed/nuts chinquapin (Castanopsis)" ""
"40705" "種子(ダイズ)"  "Needs translation"
"29373" "種子(チャンチンモドキ)" "seed Napali hog plum (Choerospondias axillaris​)" ""
"32524" "種子(トウガン)" "seed white gourd/winter melon (Benincasa hispida)" ""
"6479" "種子(トチノキ)" "seed horse chestnut (Aesculus turbinata) Aesculus??" ""
"16778" "種子(トチノキ果皮)" "seed pericarp horse chestnut (Aesculus turbinata) Aesculus??" ""
"16779" "種子(トチノキ種皮)" "seed seed coat horse chestnut (Aesculus turbinata) Aesculus??" ""
"21507" "種子(ドングリ" "seed oak (Quercus)" ""
"24075" "種子(ドングリ)" "seed oak (Quercus)" ""
"26418" "種子(ヒシ属果実)" "seed fruit /achenes etc water caltrop (Trapa sp.) Water caltrop (Trapa natans var. bispinosa)" ""
"38500" "種子（ヒョウタン）" "seed, bottle gourd (Lagenaria siceraria)" ""
"29273" "種子(ヒョウタン果皮)" "seed pericarp bottle gourd (Lagenaria siceraria)" ""
"8781" "種子(ヒョウタン類の果皮)" "seed pericarp bottle gourd (Lagenaria siceraria)" ""
"27353" "種子(ブドウ属)" "seed grapes (Vitaceae)" ""
"6476" "種子(ホタルイ-カンガレイ)" "seed bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides) bulrush (Schoenoplectiella triangulatus syn. Scirpus)" ""
"37529" "種子（ホタルイ属）" "seed, club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)" ""
"26419" "種子(マツ属複維管束亜属球果)" "seed cones pine (Pinus sp.) subgen compound vascular" ""
"37692" "種子（ムクロジ）" "seed, soapberry (Sapindaceae)" ""
"17163" "種子(モモ)" "seed peach (Amygdalus persica syn. Prunus)" ""
"17434" "種子(モモ核)" "seed peach (Amygdalus persica syn. Prunus)" ""
"33900" "種子（ヤマブドウ）" "seed Yama grape (Vitis coignetiae)" ""
"41101" "種子(松笠)"  "Needs translation"
"36703" "種子(桃)" "seed peach (Amygdalus sp.)" ""
"42728" "種子(桃核)"  "Needs translation"
"17138" "種子(梅)" "seed plum/cherry (Prunus sp.)" ""
"5160" "種子(籾)" "seed rice (Oryza sativa) husk" ""
"8293" "種子/果実" "seed fruit /achenes etc" ""
"14854" "種子核(クルミ)" "seed walnut (Juglans)" ""
"34256" "種子殻" "seed shell" ""
"16237" "種子混じり泥炭" "seed peat" ""
"9728" "種実" "seed/nuts" ""
"1058" "種実," "seed/nuts" ""
"3823" "種実,アカガシ亜属,果皮" "seed/nuts pericarp Japanese evergreen oak (Quercus acuta)" ""
"36" "種実,アカメガシワ," "seed/nuts Japanese mallotus (Mallotus japonicus)" ""
"1061" "種実,アワ," "seed/nuts foxtail millet (Setaria italica)" ""
"2704" "種実,ウリ," "seed/nuts melon/gourd (Cucurbitaceae)" ""
"720" "種実,エゴ," "seed/nuts snowbell tree (Styrax japonica)" ""
"37" "種実,エゴノキ," "seed/nuts snowbell tree (Styrax japonica)" ""
"3856" "種実,オオムギ・コムギ," "seed/nuts wheat (Triticum) barley (Hordeum sp.)" ""
"431" "種実,オオムギ," "seed/nuts barley (Hordeum sp.)" ""
"366" "種実,オニグルミ," "seed/nuts walnut (Juglans ailanthifolia)" ""
"3764" "種実,オニグルミ,内果皮" "seed/nuts endocarp pericarp walnut (Juglans ailanthifolia)" ""
"284" "種実,オニグルミ,核" "seed/nuts walnut (Juglans ailanthifolia)" ""
"719" "種実,カシ類（ドングリ）," "seed/nuts oak (Quercus) oaks (Quercus subgen. Cyclobalanopsis)" ""
"3605" "種実,カラスサンショウ," "seed/nuts prickly ash (Zanthoxylum ailanthoides syn. Fagara ailanthoides) prickly ash (Zanthoxylum piperitum)" ""
"1057" "種実,キビ," "seed/nuts common millet (Panicum miliaceum)" ""
"1059" "種実,キビ属," "seed/nuts common millet (Panicum miliaceum)" ""
"468" "種実,クリ," "seed/nuts chestnut (Castanea crenata)" ""
"987" "種実,クリ,子葉" "seed/nuts cotyledon chestnut (Castanea crenata)" ""
"286" "種実,クリ,子葉1/4" "seed/nuts cotyledon chestnut (Castanea crenata)" ""
"1744" "種実,クリ？," "seed/nuts chestnut (Castanea crenata)" ""
"236" "種実,クルミ," "seed/nuts walnut (Juglans)" ""
"265" "種実,クルミ,半分" "seed/nuts walnut (Juglans)" ""
"4471" "種実,クルミ,核" "seed/nuts walnut (Juglans)" ""
"3708" "種実,クルミ,殻" "seed/nuts shell walnut (Juglans)" ""
"1042" "種実,クルミ属," "seed/nuts walnut (Juglans)" ""
"2237" "種実,コムギ," "seed/nuts wheat (Triticum)" ""
"35" "種実,コメ," "seed/nuts rice (Oryza sativa)" ""
"726" "種実,コメ,3個" "seed/nuts rice (Oryza sativa)" ""
"2760" "種実,コメ,焼米" "seed/nuts rice (Oryza sativa) rice (Oryza sativa)" ""
"3771" "種実,ササゲ属," "seed/nuts Vigna bean (Vigna sp.) Vigna bean (Vigna sp.)" ""
"3604" "種実,サンショウ," "seed/nuts prickly ash (Zanthoxylum piperitum)" ""
"4061" "種実,シイ," "seed/nuts chinquapin (Castanopsis)" ""
"4410" "種実,ソバ," "seed/nuts buckwheat (Fagopyrum esculentum)" ""
"3081" "種実,ダイズ," "seed/nuts soya bean (Glycine max)" ""
"4167" "種実,トチ," "seed/nuts Aesculus??" ""
"3042" "種実,トチ,皮殻" "seed/nuts shell Aesculus??" ""
"3769" "種実,トチノキ,種皮" "seed/nuts seed coat horse chestnut (Aesculus turbinata) Aesculus??" ""
"551" "種実,ドングリ," "seed/nuts oak (Quercus)" ""
"53" "種実,ドングリ,子葉" "seed/nuts cotyledon oak (Quercus)" ""
"3770" "種実,ナラガシワ,果皮" "seed/nuts pericarp Asian white oak (Quercus aliena​)" ""
"347" "種実,ニワトコ," "seed/nuts Elderberry (Sambucus sp.)" ""
"309" "種実,ヒエ属," "seed/nuts barnyard millet (Echinochloa)" ""
"3195" "種実,ヒョウタン," "seed/nuts bottle gourd (Lagenaria siceraria)" ""
"3255" "種実,ヒョウタン,片" "seed/nuts bottle gourd (Lagenaria siceraria)" ""
"2718" "種実,ヒョウタン？,果皮" "seed/nuts pericarp bottle gourd (Lagenaria siceraria)" ""
"1040" "種実,ブドウ科," "seed/nuts grapes (Vitaceae)" ""
"2096" "種実,ホルトノキ," "seed/nuts horutonoki tree (Elaeocarpus sylvestris var. ellipticus)" ""
"2153" "種実,マメ," "seed/nuts legume (Fabaceae)" ""
"712" "種実,マメ？," "seed/nuts legume (Fabaceae)" ""
"2884" "種実,マメ科," "seed/nuts Fabaceae legume (Fabaceae)" ""
"267" "種実,モモ," "seed/nuts peach (Amygdalus persica syn. Prunus)" ""
"467" "種実,モモ,核" "seed/nuts peach (Amygdalus persica syn. Prunus)" ""
"1750" "種実,不明," "unknown seed/nuts" ""
"4463" "種実,堅果？,子実" "nut seed/nuts grain" ""
"3291" "種実,堅果類," "nut seed/nuts" ""
"33344" "種実？（クルミ片？）" "seed/nuts walnut (Juglans)" ""
"30684" "種実(アカガシ-ツクバネガシ)" "seed/nuts Japanese evergreen oak (Quercus acuta) Tsukubanegashi oak (Quercus sessilifolia)" ""
"45125" "種実(アカガシ亜属:果実)"  "Needs translation"
"6840" "種実(アカガシ亜属)" "seed/nuts Japanese evergreen oak (Quercus acuta)" ""
"25925" "種実(アカガシ亜属果実)" "seed/nuts fruit /achenes etc Japanese evergreen oak (Quercus acuta)" ""
"44675" "種実(アサ果実)"  "Needs translation"
"32837" "種実(アズキ)" "seed/nuts adzuki bean (Vigna angularis)" ""
"16460" "種実(アブラチャン)" "seed/nuts Aburatyan tree (Parabenzoin praecox)" ""
"26169" "種実(アブラナ科)" "seed/nuts mustard family (Brassicaceae)" ""
"43567" "種実(アラカシ)"  "Needs translation"
"36755" "種実(アラカシ果実)" "seed/nuts fruit /achenes etc ring-cupped oak (Quercus glauca)" ""
"30685" "種実(イチイガシ)" "seed/nuts red bark oak (Quercus gilva)" ""
"30687" "種実(イチイガシ）" "seed/nuts red bark oak (Quercus gilva)" ""
"36746" "種実(イチイガシ果実)" "seed/nuts fruit /achenes etc red bark oak (Quercus gilva)" ""
"16842" "種実(イネ)" "seed/nuts rice (Oryza sativa)" ""
"18947" "種実(イネ胚乳)" "seed/nuts rice (Oryza sativa)" ""
"37318" "種実（ウリ種子）" "seed seed/nuts, melon/gourd (Cucurbitaceae)" ""
"21167" "種実(エゴノキ)" "seed/nuts snowbell tree (Styrax japonica)" ""
"38022" "種実（エゴノキ）" "seed/nuts, snowbell (Styrax sp.)" ""
"6910" "種実(エゴノキ核)" "seed/nuts snowbell tree (Styrax japonica)" ""
"33299" "種実（エゾエンゴサク根茎・炭化植物遺体）" "carbonized plant seed/nuts stem root plant remains Ezoengosaku (Corydalis ambigua)" ""
"33365" "種実（オオムギ炭化種子）" "carbonized seed seed/nuts barley (Hordeum sp.)" ""
"33293" "種実（オオムギ種子・炭化植物遺体）" "carbonized plant seed seed/nuts plant remains barley (Hordeum sp.)" ""
"33322" "種実（オオムギ穎果・炭化植物遺体（0.21g））" "carbonized plant seed/nuts plant remains barley (Hordeum sp.)" ""
"45129" "種実(オニグルミ:核)"  "Needs translation"
"16010" "種実(オニグルミ)" "seed/nuts walnut (Juglans ailanthifolia)" ""
"34435" "種実（オニグルミ）" "seed/nuts walnut (Juglans ailanthifolia)" ""
"16342" "種実(オニグルミ内果皮)" "seed/nuts endocarp pericarp walnut (Juglans ailanthifolia)" ""
"33328" "種実（オニグルミ堅果皮片・炭化植物遺体（0.52g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"33323" "種実（オニグルミ堅果皮片・炭化植物遺体（0.56g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"33327" "種実（オニグルミ堅果皮片・炭化植物遺体（0.59g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"33329" "種実（オニグルミ堅果皮片・炭化植物遺体（0.6g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"33326" "種実（オニグルミ堅果皮片・炭化植物遺体（1.01g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"33325" "種実（オニグルミ堅果皮片・炭化植物遺体（1.07g））" "carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)" ""
"4955" "種実(オニグルミ核)" "seed/nuts walnut (Juglans ailanthifolia)" ""
"16354" "種実(カボチャ近似種種子)" "seed seed/nuts or similar (Cucurbita sp.)" ""
"33367" "種実（キビ塊片）" "seed/nuts common millet (Panicum miliaceum)" ""
"45158" "種実(クヌギ:果実)"  "Needs translation"
"25926" "種実(クヌギ節)" "seed/nuts saw-tooth oak (Quercus acutissima)" ""
"45143" "種実(クリ:果実)"  "Needs translation"
"45141" "種実(クリ:核)"  "Needs translation"
"33982" "種実（クリ子葉）" "seed/nuts cotyledon chestnut (Castanea crenata)" ""
"8624" "種実(クリ果実破片)" "seed/nuts fruit /achenes etc chestnut (Castanea crenata)" ""
"45118" "種実(クルミ:核)"  "Needs translation"
"44664" "種実(クルミ?)"  "Needs translation"
"9777" "種実(クルミ)" "seed/nuts walnut (Juglans)" ""
"34219" "種実（クルミ）" "seed/nuts walnut (Juglans)" ""
"42940" "種実(クルミ核)"  "Needs translation"
"33372" "種実（クルミ殻）" "seed/nuts shell walnut (Juglans)" ""
"44703" "種実（クルミ殻皮）"  "Needs translation"
"33368" "種実（クルミ片）" "seed/nuts walnut (Juglans)" ""
"16367" "種実(ココヤシ内果皮)" "seed/nuts endocarp pericarp coconut palm (Cocos nucifera)" ""
"45126" "種実(コナラ属:果実)"  "Needs translation"
"17064" "種実(コナラ属)" "seed/nuts oak (Quercus sp.)" ""
"37172" "種実（コナラ属）" "seed/nuts, oak (Quercus sp.)" ""
"36758" "種実(コナラ属アカガシ亜属果実)" "seed/nuts fruit /achenes etc oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)" ""
"36748" "種実(コナラ属クヌギ節果実)" "seed/nuts fruit /achenes etc oak (Quercus sp.) saw-tooth oak (Quercus acutissima)" ""
"8626" "種実(コナラ属コナラ節幼果)" "seed/nuts oak (Quercus sp.) Jolcham oak (Quercus serrata)" ""
"16353" "種実(コナラ果実)" "seed/nuts fruit /achenes etc oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)" ""
"18946" "種実(コムギ胚乳)" "seed/nuts wheat (Triticum)" ""
"6713" "種実(ササゲ属炭化種子)" "carbonized seed seed/nuts Vigna bean (Vigna sp.) Vigna bean (Vigna sp.)" ""
"44667" "種実(シイ?)"  "Needs translation"
"44666" "種実(シイ)"  "Needs translation"
"27466" "種実(センダン)" "seed/nuts chinaberry tree (Melia azedarach)" ""
"8717" "種実(ツブラジイ果皮)" "seed/nuts pericarp Japanese Chinquapin (Castanopsis cuspidata)" ""
"20336" "種実(トチ)" "seed/nuts Aesculus??" ""
"45117" "種実(トチノキ:種子)"  "Needs translation"
"16009" "種実(トチノキ)" "seed/nuts horse chestnut (Aesculus turbinata) Aesculus??" ""
"38428" "種実（トチノキ果皮）" "seed/nuts pericarp, horse chestnut (Aesculus turbinata)" ""
"16348" "種実(トチノキ炭化子葉)" "carbonized seed/nuts cotyledon horse chestnut (Aesculus turbinata) Aesculus??" ""
"6711" "種実(トチノキ種子)" "seed seed/nuts horse chestnut (Aesculus turbinata) Aesculus??" ""
"38926" "種実（トチノキ種子）" "seed seed/nuts, horse chestnut (Aesculus turbinata)" ""
"43044" "種実(トチ果実)"  "Needs translation"
"44996" "種実(ドングリ:アラカシ)"  "Needs translation"
"44707" "種実（ドングリ?）"  "Needs translation"
"44708" "種実（ドングリ?殻皮）"  "Needs translation"
"30067" "種実(どんぐり)" "seed/nuts oak acorn (Quercus sp.)" ""
"31036" "種実(ドングリ)" "seed/nuts oak (Quercus)" ""
"42167" "種実(ナデシコ科ほか)"  "Needs translation"
"45157" "種実(ナラガシワ:果実)"  "Needs translation"
"6712" "種実(ナラガシワ果実)" "seed/nuts fruit /achenes etc Asian white oak (Quercus aliena​)" ""
"38928" "種実（ナラガシワ果実）" "seed/nuts fruit /achenes etc, Asian white oak (Quercus aliena​)" ""
"44576" "種実(ニワトコ属)"  "Needs translation"
"8627" "種実(ハンノキ球果)" "seed/nuts cones Japanese alder (Alnus japonica)​" ""
"32838" "種実(ヒシ)" "seed/nuts Water caltrop (Trapa natans var. bispinosa)" ""
"25775" "種実(ヒシ属)" "seed/nuts water caltrop (Trapa sp.) Water caltrop (Trapa natans var. bispinosa)" ""
"42164" "種実(ヒョウタン)"  "Needs translation"
"30296" "種実(ヒョウタン果実破片1点）" "seed/nuts fruit /achenes etc bottle gourd (Lagenaria siceraria)" ""
"33324" "種実（ブドウ属種子・炭化植物遺体（0.12g））" "carbonized plant seed seed/nuts plant remains grapes (Vitaceae)" ""
"16340" "種実(ブナ殻斗)" "seed/nuts shell beech (Fagaceae)" ""
"37335" "種実（ヘチマ種子？）" "seed seed/nuts, Luffa (Luffa cylindrica)" ""
"37228" "種実（マツ属）" "seed/nuts, pine (Pinus sp.)" ""
"32829" "種実(マツ球果)" "seed/nuts cones pine (Pinus sp.)" ""
"45131" "種実(マツ科:球果)"  "Needs translation"
"6195" "種実(ミズキ核)" "seed/nuts dogwood (Cornus controversa)" ""
"43059" "種実(ムクロジ)"  "Needs translation"
"23310" "種実(メロン仲間)" "seed/nuts melon (Cucumis melo)" ""
"18130" "種実(モモ)" "seed/nuts peach (Amygdalus persica syn. Prunus)" ""
"5092" "種実(モモ核)" "seed/nuts peach (Amygdalus persica syn. Prunus)" ""
"37319" "種実（モモ核）" "seed/nuts, peach (Amygdalus persica syn. Prunus)" ""
"38319" "種実（モモ核）生試料" "seed/nuts raw sample sample, peach (Amygdalus persica syn. Prunus)" ""
"6908" "種実(不明)" "unknown seed/nuts" ""
"33292" "種実（不明種子・炭化植物遺体）" "unknown carbonized plant seed seed/nuts plant remains" ""
"44469" "種実(堅果?)生材"  "Needs translation"
"37511" "種実（果実）クヌギ－アベマキ" "seed/nuts fruit /achenes etc, saw-tooth oak (Quercus acutissima) Asian cork oak (Quercus variabilis)" ""
"33330" "種実（草本茎・炭化植物遺体（0.51g））" "carbonized plant seed/nuts stem plant remains herbaceous plants" ""
"6591" "種実2点(オニグルミ核)" "seed/nuts walnut (Juglans ailanthifolia)" ""
"44158" "種実果皮"  "Needs translation"
"27991" "種実炭化物(チャンチンモドキ)" "carbonized seed/nuts material Napali hog plum (Choerospondias axillaris​)" ""
"27992" "種実炭化物(ブナ科)" "carbonized seed/nuts material Fagaceae" ""
"30771" "種実片(ドングリ類)" "seed/nuts oak (Quercus)" ""
"27972" "種実片(ムギ類)" "seed/nuts Cereale (Triticum, Hordeum, Secale, Avena)" ""
"32209" "種実破片(ヒョウタン類)" "seed/nuts bottle gourd (Lagenaria siceraria)" ""
"20633" "種実遺体" "seed/nuts" ""
"18825" "種実遺体?" "seed/nuts" ""
"16574" "種実遺体(イネ)" "seed/nuts rice (Oryza sativa)" ""
"19755" "種実遺体(エゴノキ)" "seed/nuts snowbell tree (Styrax japonica)" ""
"14528" "種実遺体(オニグルミ)" "seed/nuts walnut (Juglans ailanthifolia)" ""
"22965" "種実遺体(オニグルミ核)" "seed/nuts walnut (Juglans ailanthifolia)" ""
"22962" "種実遺体(オニグルミ核)＋土壌" "seed/nuts soil walnut (Juglans ailanthifolia)" ""
"5193" "種実遺体（カヤツリグサ）" "seed/nuts Japanese nutmeg tree​ (Torreya nucifera) Sedges/Cyperus" ""
"32548" "種実遺体(コナラ属)" "seed/nuts oak (Quercus sp.)" ""
"20872" "種実遺体(タデ属)" "seed/nuts knotweed (Polygonum sp.)" ""
"14954" "種実遺体(トチノキ)" "seed/nuts horse chestnut (Aesculus turbinata) Aesculus??" ""
"18633" "種実遺体(トチノキ果実)" "seed/nuts fruit /achenes etc horse chestnut (Aesculus turbinata) Aesculus??" ""
"19972" "種実遺体(トチノキ種子)" "seed seed/nuts horse chestnut (Aesculus turbinata) Aesculus??" ""
"22002" "種実遺体(トチノキ種皮)" "seed/nuts seed coat horse chestnut (Aesculus turbinata) Aesculus??" ""
"20648" "種実遺体(ヒシ)" "seed/nuts Water caltrop (Trapa natans var. bispinosa)" ""
"22385" "種実遺体(ヒョウタン類果実)" "seed/nuts fruit /achenes etc bottle gourd (Lagenaria siceraria)" ""
"22431" "種実遺体(ブドウ種子)" "seed seed/nuts grapes (Vitaceae)" ""
"18634" "種実遺体(ホオノキ種子)" "seed seed/nuts big-leaf magloia (Magnolia obovata)" ""
"19891" "種実遺体(ホタルイ属及びタデ属)" "seed/nuts knotweed (Polygonum sp.) club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)" ""
"5192" "種実遺体(ムクロジ)" "seed/nuts soapberry (Sapindaceae)" ""
"43371" "種実遺体(モモ)"  "Needs translation"
"22384" "種実遺体(モモ核)" "seed/nuts peach (Amygdalus persica syn. Prunus)" ""
"32703" "種実遺体(ヤブツバキ)" "seed/nuts wild camellia (Camellia japonica)" ""
"33909" "種実遺体オニグルミ" "seed/nuts walnut (Juglans ailanthifolia)" ""
"19873" "種実類(針葉樹)" "seed/nuts Coniferae" ""
"20292" "穀類(コメの塊)" "rice (Oryza sativa)" ""
"38352" "立木" "upright post/trunk, wood indet." ""
"38424" "立木（ヤマグワ）" "upright post/trunk, Chinese mulberry (Morus australis syn bombycis) " ""
"38415" "立木（広葉樹）" "upright post/trunk, hardwoods" ""
"38426" "立木の根" "tree stump?, wood indet." ""
"19077" "竹" "bamboo" ""
"30903" "竹材" "material bamboo" ""
"27617" "竹材（マダケ）" "material bamboo Japanese timber bamboo (Phyllostachys bambsoides)" ""
"8389" "竹笹類" "bamboo bamboo" ""
"8388" "竹笹類?" "bamboo bamboo" ""
"6728" "第5号トチ塚 S10" "Aesculus??" ""
"36259" "笹類" "bamboo" ""
"12904" "米" "rice (Oryza sativa)" ""
"30375" "粒状炭化物" "carbonized grain material" ""
"4870" "粘土" "clay" ""
"5728" "粘土質シルト" "clay silt" ""
"39890" "粘土質泥炭"  "Needs translation"
"29900" "素材束" "material" ""
"22709" "細砂混じりシルト" "silt sand" ""
"10379" "絶滅大型シカ脛骨" "deer (Cervidae) tibia" ""
"33935" "続縄文時代の焼土" "Jomon burnt soil" ""
"33936" "続縄文時代の焼土フローテーションサンプル" "Jomon burnt soil flotation sample" ""
"36718" "緑青" "patina" ""
"36788" "緑青錆" "patina" ""
"42128" "編み物"  "Needs translation"
"29711" "編物" "woven textile" ""
"29707" "編物(AM2250)" "woven textile" ""
"29653" "編物(ヒゴ材)" "material woven textile" ""
"21294" "編物(ヒノキ科)" "woven textile hinoki cypress (Chamaecyparis obtusa)" ""
"29721" "編物①" "woven textile" ""
"29713" "編物②" "woven textile" ""
"29718" "編物②(ムクロジ)" "woven textile soapberry (Sapindaceae)" ""
"45152" "編物タテ材(アスナロ)"  "Needs translation"
"45148" "編物タテ材(スギ)"  "Needs translation"
"45150" "編物タテ材(マタタビ属)"  "Needs translation"
"45154" "編物ヨコ材(アスナロ)"  "Needs translation"
"45149" "編物ヨコ材(スギ)"  "Needs translation"
"45151" "編物ヨコ材(スギ根材)"  "Needs translation"
"29897" "編物一括" "woven textile" ""
"30969" "編組製品(アカガシ亜属)" "Japanese evergreen oak (Quercus acuta)" ""
