"MaterialType" "Materials_Details_EN" "Notes"
"3545" "その他,鉄,袋部" "iron bag - could this be mineralized preserved organics on an object?" ""
"3546" "その他,鉄,袋部刃先近く" "iron near blade edge - again mineralized wood or organics maybe?" ""
"18134" "ソバの茎" "stem buckwheat (Fagopyrum esculentum)" ""
"20575" "タケ" "bamboo (Bambusoideae)" ""
"6900" "タケ亜科稈" "culm bamboo (Bambusoideae)" ""
"23655" "タケ類" "bamboo (Bambusoideae)" ""
"20805" "タヌキ下顎骨" "raccoon dog (Nyctereutes procyonoides) manidble" ""
"38129" "タブノキ" "wood, Japanese bay tree (Machilus thunbergii)" ""
"20557" "ツバキ種子" "seed common camellia (Camellia japonica)" ""
"44482" "トウガタガイ科オオシイノミクチキレ(Milda ventricosa)"  "Needs translation"
"44493" "トウガタカワニナ科ヌノメカワニナ(Melanoides tuberculata Muller)"  "Needs translation"
"23706" "トウヒ毬果" "pinecone ezo spruce (Picea jezoensis)" ""
"33896" "トクサ" "Horsetail (Equisetum sp.)" ""
"11306" "トチ" "Aesculus??" ""
"4693" "トチノキ" "horse chestnut (Aesculus turbinata) Aesculus??" ""
"37654" "トチノキ（種子）" "seed, horse chestnut (Aesculus turbinata)" ""
"30117" "トチノキ子葉" "cotyledon horse chestnut (Aesculus turbinata) Aesculus??" ""
"21948" "トチノキ果実" "fruit /achenes etc horse chestnut (Aesculus turbinata) Aesculus??" ""
"42083" "トチノキ果実片"  "Needs translation"
"12427" "トチノキ果皮" "pericarp horse chestnut (Aesculus turbinata) Aesculus??" ""
"23798" "トチノキ炭化種子" "carbonized seed horse chestnut (Aesculus turbinata) Aesculus??" ""
"5113" "トチノキ種子" "seed horse chestnut (Aesculus turbinata) Aesculus??" ""
"10535" "トチノキ種皮" "seed coat horse chestnut (Aesculus turbinata) Aesculus??" ""
"9886" "トチノキ種皮片" "seed coat horse chestnut (Aesculus turbinata) Aesculus??" ""
"40780" "トチノミ"  "Needs translation"
"40785" "トチノミ?"  "Needs translation"
"18458" "トチの実" "nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)" ""
"10097" "トチの実の殻" "nut shell nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)" ""
"18943" "トチの実の皮?" "nut/fruit Aesculus?? horse chestnut (Aesculus hippocastanum)" ""
"9403" "トチ種子" "seed Aesculus??" ""
"9384" "トチ種実" "seed/nuts Aesculus??" ""
"9401" "トチ種皮" "seed coat Aesculus??" ""
"5526" "トネリコ類" "Japanese ash (Fraxinus japonica)​" ""
"23805" "トリベ付着物" "ladle deposits?" ""
"23845" "ドングリ" "oak (Quercus)" ""
"30194" "ドングリの果皮" "pericarp oak (Quercus)" ""
"32440" "ドングリ木片(Ⅺ層)" "wood frag oak (Quercus)" ""
"29729" "ドングリ果皮" "pericarp oak (Quercus)" ""
"24449" "ドングリ炭化種子" "carbonized seed oak (Quercus)" ""
"9383" "ドングリ種実" "seed/nuts oak (Quercus)" ""
"21499" "ドングリ類種子" "seed oak (Quercus)" ""
"22290" "ナウマン象 骨化石" "elephant (Elephantidae spp. Palaeoloxodon?) fossil bone" ""
"6528" "ナミマガシワ･カガミガイ他" "venus clam (Dosinia japonica) jingle shell (Anomia chinensis)" ""
"5544" "ナラ" "oak" ""
