MaterialType,Taxa
木材，ウイグルマッチング，最内から20層目,
木材，ウイグルマッチング，最内から30層目,
木材，ウイグルマッチング，最内から40層目,
木材，ウイグルマッチング，最内から50層目,
木材，ウイグルマッチング，最内から60層目,
木材，ウイグルマッチング，最内から70層目,
木材，ウイグルマッチング，最内から80層目,
木材，ウイグルマッチング，最内から90層目,
木材，ウイグルマッチング，最内から100層目,
木材，ウイグルマッチング，最内から110層目,
木材，ウイグルマッチング，外から11-20年輪,
木材，ウイグルマッチング，外から51-60年輪,
木材，ウイグルマッチング，外から91-100年輪,
木材，ウイグルマッチング，外から121-130年輪,
木材，ウイグルマッチング，外から151-160年輪,
木材，ウイグルマッチング，外から191-200年輪,
木材，ウイグルマッチング，外から231-240年輪,
"漆,漆膜,胴内",
"種実,ヒョウタン,片",Lagenaria siceraria (var. gourda Makino)
"土器付着物,煤,胴部内面",
"木材,最外",
"木材,外皮付き最外",
"種実,堅果類,","Plantae (seed, fruit)"
"骨,コイ類,第一椎骨",Cyprinus carpio (type)
"貝,セタシジミ,",Corbicula sandai
"その他,松葉,",Pinaceae (?Cellana nigrolineata limpet ? 松葉貝)
"その他,アシ,",Phragmites sp.
"貝,カラスガイ,",Cristaria plicata
"貝,ヤマトカワニナ,",Semisulcospira nipponica
"貝,ナガタニシ,",Heterogen longispira
"貝,セタシジミ,貝殻",Corbicula sandai
"貝,セタシジミ,中身",Corbicula sandai
"土器付着物,煤,胴外（頸）",
"漆,塗膜,胴内",
"土器付着物,煤,口縁外・胴外下",
"土器付着物,吹,口縁外・胴外上",
木材，ウイグルマッチング，外から1年輪目,
木材，ウイグルマッチング，外から51年輪目,
木材，ウイグルマッチング，外から61年輪目,
木材，ウイグルマッチング，外から91年輪目,
木材，ウイグルマッチング，外から131年輪目,
木材，ウイグルマッチング，外から26-30年輪,
木材，ウイグルマッチング，外から36-40年輪,
木材，ウイグルマッチング，外から41-45年輪,
"その他,鉄,袋部",
"その他,鉄,袋部刃先近く",
"土器付着物,煤,頚部外面",
"土器付着物,焦,胴内下部",
"炭化材,炭化物,樹幹",
"土器付着物,煤，吹,口縁外・胴外",
"木材,外から2年輪",
"種実,サンショウ,",Zanthoxylum piperitum
"種実,カラスサンショウ,",Zanthoxylum ailanthoides
"炭化材,最外縁",
"土器付着物,胴内上",
"土器付着物,頚外",
"土器付着物,煤,頚外",
"その他,植物遺体,",
"その他,ウツギ,",Deutzia crenata
"木材,裏面",
"木材,内周",
"木材,外周",
"骨,ヒト,左脛骨中間部",Homo sapiens
"骨,ヒト,肋骨左7",Homo sapiens
"骨,ヒト,右中足骨2",NA
"骨,ヒト,右中足骨5",NA
"骨,ヒト,右中足骨3",NA
"骨,ヒト,右中足骨4",NA
"骨,シカ,右下上腕骨",Cervidae
"骨,シカ,右踵骨",Cervidae
"骨,イノシシ,右踵骨",Sus scrofa
"炭化材,炭化物,土壌中",
"土器付着物,吹,身内面",
"貝,マシジミ,",Corbicula leana
"種実,クルミ,殻",Juglans sp.
"土器付着物,煤,底部内面",
"土器付着物,煤,胴内上",
"種実,オニグルミ,内果皮",Juglans mandshurica
"種実,トチノキ,種皮",Aesculus turbinata
"種実,ナラガシワ,果皮",Quercus aliena
"種実,ササゲ属,",Vigna sp.
"木材,ニレ属,",Ulmus sp.
"木材,ヤマグワ,",Morus australis
"木材,コナラ節,",Quercus sect. Quercus
"木材,ウルシ,",Toxicodendron vernicifluum
"その他,繊維,",
"種実,アカガシ亜属,果皮",Quercus subgenus Cyclobalanopsis
"種実,オオムギ・コムギ,","Hordeum vulgare, Triticum sp."
"土器付着物,屈曲部上位外",
"土器付着物,煤,胴外，底部外面",
"漆,胴内，底部内面",
"木材，ウイグルマッチング，柱材,外から1-5層",
"木材，ウイグルマッチング，柱材,外から16-20層",
"木材，ウイグルマッチング，柱材,外から31-35層",
"木材，ウイグルマッチング，柱材,外から46-50層",
"木材，ウイグルマッチング，柱材,外から61-65層",
"木材，ウイグルマッチング，柱材,外から76-80層",
"木材，ウイグルマッチング，柱材,外から91-95層",
"木材，ウイグルマッチング，柱材,外から106-110層",
"木材，ウイグルマッチング，柱材,外から121-125層",
"漆,胴内・胴外",
"炭化材,外から1年目",
"炭化材,外から11年目",
"炭化材,外から21年目",
"炭化材,外から21年輪",
"炭化材,外から31年目",
"炭化材,外から31年輪",
"炭化材,外から35年目",
"土器付着物,焦,口内外",
"種実,シイ,",Castanopsis sp.
"土器付着物,焦,口縁内、胴内",
"土器付着物,焦，吹,胴内外",
"漆,漆膜,口縁外・口縁内",
"木材,木胎",
"炭化材,針葉樹,",Coniferae
"炭化材,樹幹材,",
"土器付着物,口縁突帯下部",
"土器付着物,胎土食込炭化物,内面",
"木材,クリ？,",Castanea crenata
"土器付着物,埋甕",
"種実,トチ,",Aesculus turbinata
"土器付着物,胴外，胴内",
"漆,胴下部",
"漆,黒漆？,口縁外",
"炭化材,コナラ属コナラ亜属コナラ節,",Quercus subgen. Quercus
"漆,生漆,胴内",
"炭化材,クリ,最外",Castanea crenata
"炭化材,クリ,11年目",Castanea crenata
"炭化材,クリ,21年目",Castanea crenata
"炭化材,クリ,31年目",Castanea crenata
"炭化材,ブナ科コナラ属,",Quercus sp.
"漆,漆片,胴外・胴内",
"土器付着物,焦（アスファルト？）,胴内",
"炭化材,コナラ属,",Quercus sp.
"炭化材,クヌギ属?,",Quercus sp.
"土器付着物,口胴外",
"漆,漆片,",
"その他,",
"種実,ソバ,",Fagopyrum esculentum
"土器付着物,焦,胴下内面",
"種実,堅果？,子実","Plantae (seed, fruit)"
"その他,土壌,",
"種実,クルミ,核",Juglans sp.
"漆,漆？,胴外",
"漆,漆？,胴内",
漆漆？胴外,
土器付着物煤口縁外,
土器付着物焦胴内,
土器付着物焦底部内面,
土器付着物焦胴内下,
炭化材,
炭化材散孔材,
炭化材環孔材,
土器付着物吹胴外,
土器付着物焦口縁内,
土器付着物吹口縁外・胴外,
土器付着物煤胴外,
土器付着物焦胴内，底部内面,
炉址内採集土,
炭化材(コナラ属クヌギ),"Quercus sp., Quercus acutissima"
炭化材(ハンノキ属ハンノキ亜属),Alnus sp. subgenus Alnus
炭化種実(イネ),Oryza sativa
炭化材(ハンノキ亜属),Alnus sp. subgenus Alnus
貝類,Mollusca
貝,Mollusca
炭化材(クリ),Castanea crenata
クルミ核片,Juglans sp.
草木泥炭,
木本泥炭,
木材(コナラ属),Quercus sp.
炭化物,
炭化材(イネ科タケ亜科),Bambusoideae
生木(クリ),Castanea crenata
オニグルミ,Juglans mandshurica
炭化材（エノキ属）,Celtis sp.
不明,
炭化木(マツ),Pinus sp.
炭化木(ブナ？),Fagus crenata
土器付着炭化物,
ワラ状炭化物,Plantae (stem)
木炭,
人骨,Homo sapiens
炭化穀類(イネ),Oryza sativa
炭化材(コナラ),Quercus serrata
貝(ハマグリ),Meretrix lusoria
炭化物(サクラ属),Cerasus sp.
炭化丸木材(クヌギ・コナラ),"Quercus acutissima, Quercus serrata"
