"Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
"Charred Remain","炭化建材？",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化建材（消失材）",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化木",0,"Carbonized wood","","carbonized",""
"Charred Remain","炭化木(ブナ？)",0,"carbonized beech (Fagaceae)","beech (Fagaceae)","carbonized",""
"Charred Remain","炭化木(マツ)",0,"carbonized pine (Pinus sp.)","pine (Pinus sp.)","carbonized",""
"Charred Remain","炭化木片",0,"carbonized wood frag","","carbonized wood frag",""
"Charred Remain","炭化木片（カラマツ属）",0,"carbonized wood frag larch (Larix sp.)","larch (Larix sp.)","carbonized wood frag",""
"Charred Remain","炭化木片など",0,"carbonized wood frag","","carbonized wood frag",""
"Charred Remain","炭化木細粒",0,"carbonized grain","","carbonized grain",""
"Charred Remain","炭化材",0,"carbonized material","","carbonized material",""
"Charred Remain","炭化材(カヤコナラ属アカガシ亜属 広葉樹(散孔材) 広葉樹(樹皮))",0,"carbonized material bark hardwoodoak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Japanese nutmeg tree​ (Torreya nucifera)","oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Japanese nutmeg tree​ (Torreya nucifera)","carbonized material bark hardwood",""
"Charred Remain","炭化材(コナラ属アカガシ亜属 シイノキ属 広葉樹(散孔材))",0,"carbonized material hardwoodoak (Quercus sp.) chinquapin (Castanopsis sp.) Japanese evergreen oak (Quercus acuta)","oak (Quercus sp.) chinquapin (Castanopsis sp.) Japanese evergreen oak (Quercus acuta)","carbonized material hardwood",""
"Charred Remain","炭化材 (コナラ属コナラ亜属クヌギ節)",0,"carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","oak (Quercus sp.) saw-tooth oak (Quercus acutissima)","carbonized material",""
"Charred Remain","炭化材 (スギ)",0,"carbonized material Japanese cedar (Cryptomeria japonica)","Japanese cedar (Cryptomeria japonica)","carbonized material",""
"Charred Remain","炭化材 (ツブラジイ)",0,"carbonized material Japanese Chinquapin (Castanopsis cuspidata)","Japanese Chinquapin (Castanopsis cuspidata)","carbonized material",""
"Charred Remain","炭化材 (ミズキ)",0,"carbonized material dogwood (Cornus controversa)","dogwood (Cornus controversa)","carbonized material",""
"Charred Remain","炭化材 コナラ亜属コナラ節 エゴノキ属",0,"carbonized material Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.)","Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.)","carbonized material",""
"Charred Remain","炭化材 スノコ状？",0,"carbonized material","","carbonized material","not found? Snowbell"
"Charred Remain","炭化材 土器内面付着",0,"carbonized material from pottery interior residue","","carbonized material from pottery interior residue","Adhesion on the inner surface of earthenware"
"Charred Remain","炭化材 土留め板？",0,"carbonized material plank","","carbonized material plank","Earth bench? Plaque"
