"Period","PeriodEN"
"平安時代〜近世","Heian - Early Modern"
"弥生時代初期","Yayoi [Initial]"
"縄文時代晩期末葉〜弥生時代初期","Final Jomon [Final] - Initial Yayoi"
"縄文時代前期初頭以後","After Early Jomon [Initial]"
"縄文時代前期〜後期","Early Jomon - Late Jomon"
"縄文時代後期前様以後","After Late Jomon [Early]"
"平安時代前期","Heian [Early]"
"縄文時代中期以後","After Middle Jomon"
"中世末期〜近世","Medieval [Final] - Early Modern"
"弥生時代中期前半頃","Middle Yayoi [ca.First Half]"
"弥生時代中期前半","Middle Yayoi [First Half]"
"To-Cu火山灰","To-Cu Tephra"
"縄文時代中期末から晩期初頭","Middle Jomon [Final] - Final Jomon [Initial]"
"後期旧石器時代初頭〜末期","Late Palaeolithic [Initial - Final]"
"鎌倉時代Ⅲa〜Ⅳ期","Kamakura IIIa - IV"
"古代もしくは12世紀","Classical or 12th Century"
"縄文時代前期前葉〜中葉","Early Jomon [Early - Middle]"
"To-b火山灰","To-b Tephra"
"縄文時代後期中葉〜晩期初頭","Late Jomon [Middle] - Final Jomon [Initial]"
"中世後半〜近世","Medieval [Second Half] - Early Modern"
"縄文時代遺物包含層","Jomon"
"縄文時代前期中葉〜後葉","Early Jomon [Middle - Late]"
"縄文時代前期前半頃","Early Jomon [First Half ca.]"
"To-Of火山灰","To-Of Tephra "
"縄文時代前期初頭〜前葉","Early Jomon [Initial - Early]"
"縄文時代晩期初頭〜前葉","Final Jomon [Initial - Early]"
"縄文時代後期後葉〜末葉","Late Jomon [Late - Final]"
"縄文時代前期末〜中期前葉","Early Jomon [Final] - Middle Jomon [Early]"
"平安時代前期以降","Heian [After Early]"
