"Period","PeriodEN"
"縄文時代〜古墳時代･奈良時代･平安時代･鎌倉時代･室町時代",NA
"縄文時代〜古墳時代･奈良時代･中近世",NA
"縄文時代･弥生時代･古墳時代･奈良時代･平安時代･鎌倉時代",NA
"縄文時代以前･弥生時代後期〜古墳時代前期",NA
"弥生時代終末期後半",NA
"弥生時代後期後葉?",NA
"弥生時代中期〜終末期",NA
"弥生時代中期〜終末期･古墳時代〜中世･近代",NA
"弥生時代終末期後半以前",NA
"弥生時代後期中葉頃",NA
"縄文時代晩期〜弥生時代･古墳時代･奈良時代〜",NA
"縄文時代･弥生時代･古墳時代･古代･中世･近世",NA
"弥生時代後期後葉後半〜終末期前半",NA
"弥生時代終末期前半",NA
"弥生時代終末期後半〜古墳時代初頭",NA
"平安時代〜江戸時代",NA
"弥生時代･中世",NA
"縄文時代･弥生時代〜古墳時代･古代〜中近世",NA
"弥生時代前期?",NA
"弥生時代前期?〜中期(9層)",NA
"縄文時代･弥生時代･古代時代･中〜近世",NA
"縄文時代晩期中葉〜弥生時代前期",NA
"縄文時代後晩期･弥生･古墳時代前期",NA
"弥生時代中期〜中世",NA
"縄文時代後期中葉?",NA
"弥生時代中期末〜古墳時代",NA
"弥生時代前期〜中期以前",NA
"弥生時代後期後半〜古墳時代前期前半",NA
"弥生時代後期･古墳時代前期･奈良時代･平安時代･中世",NA
"弥生時代･古墳時代･古代･中〜近世",NA
"中世前半頃",NA
"古墳時代前期後葉〜中期前葉",NA
"弥生時代･古墳時代･奈良時代・平安時代",NA
"縄文時代･弥生時代後期･古墳時代初期･古墳時代中期",NA
"弥生時代中期後半･平安時代･鎌倉時代",NA
"古代･中〜近世",NA
"奈良時代〜近世",NA
"弥生時代末〜古墳時代初頭･奈良時代・平安時代以降",NA
"弥生時代後期末〜古墳時代前期初頭",NA
"弥生時代後期前葉〜中葉",NA
"弥生時代終末〜古墳時代前期初頭",NA
"古墳時代後期初頭",NA
"弥生時代･古墳時代･中近世",NA
"縄文時代･弥生時代･平安時代",NA
"古墳時代後期末",NA
"弥生時代終末〜古墳時代初期",NA
"古墳時代中期末葉",NA
"縄文時代後期〜律令期",NA
"縄文時代晩期〜弥生時代中期後葉",NA
"弥生時代中期後葉〜古墳時代",NA
"弥生時代終末期後葉",NA
"弥生時代終末期〜古墳時代前期初頭",NA
"弥生時代中期後葉〜後期前葉",NA
"弥生時代後期〜終末期初頭",NA
"縄文時代後晩期以前",NA
"縄文時代･弥生時代･古墳時代･近世以降",NA
"縄文時代･弥生時代･古墳時代･古代",NA
"縄文･弥生･古墳･古代",NA
"弥生時代･古代･中世〜近世",NA
"弥生時代･古墳時代･奈良時代",NA
"縄文時代後期初頭〜前葉頃",NA
"縄文時代後晩期〜中世",NA
"古墳時代後期以前",NA
"弥生時代中期後葉以降〜終末期",NA
"弥生時代前期末〜古代",NA
"旧石器時代･縄文時代･弥生時代",NA
"旧石器時代〜弥生時代･古墳時代〜古代･中世･近世",NA
"古墳時代〜平安時代初期",NA
"古墳時代〜奈良時代･平安時代",NA
"縄文時代･弥生時代･奈良時代・平安時代",NA
"縄文時代?弥生時代?",NA
"縄文時代･弥生時代･古墳時代･中世･近世",NA
"白凰時代･奈良時代･平安時代･中世後半期･近世初頭",NA
"弥生時代･中世後半期･近世初頭",NA
"〜中世",NA
"弥生時代後期末･飛鳥時代(7世紀後半)〜平安時代初期",NA
"奈良時代後半〜平安時代初期",NA
"古墳時代中期〜後期初頭",NA
"古墳時代末〜奈良時代",NA
"古墳時代から奈良時代",NA
"縄文時代〜奈良時代･中世",NA
"縄文･弥生･古墳･古代･中近世",NA
"古墳〜古代",NA
"弥生時代前期前半",NA
"弥生時代前期新段階",NA
"弥生時代後期後半以前",NA
"飛鳥時代･奈良時代･鎌倉時代",NA
"弥生時代前期中葉前半",NA
"古墳時代前〜後期",NA
"縄文時代後期中頃〜後半",NA
"縄文時代早期〜晩期",NA
"古墳時代後期前半",NA
"平安時代後半〜鎌倉時代初頭",NA
"縄文〜弥生時代早期",NA
"貝塚時代前期(縄文時代後期併行期)〜後期後半",NA
"貝塚時代前期〜後期",NA
"貝塚時代後期(高宮暫定編年後期)",NA
"貝塚時代前期〜後期(高宮暫定編年前Ⅳ期〜高宮暫定編年後期)",NA
"貝塚時代前期",NA
"琉球王朝",NA
"グスク時代〜琉球王朝",NA
"貝塚時代前期〜後期前半",NA
"貝塚時代後期前半",NA
"グスク時代〜琉球王朝以降",NA
"琉球王朝以降",NA
"旧石器時代･貝塚時代前期〜グスク時代",NA
"旧石器時代〜貝塚時代前期",NA
"貝塚時代後期後半〜グスク",NA
"貝塚時代前期〜グスク時代",NA
"貝塚時代後期前半以降",NA
"貝塚時代後期後半",NA
"グスク〜近世",NA
"グスク時代",NA
"グスク〜近世初期",NA
"貝塚時代前期？",NA
"縄文時代〜グスク時代･近世･近代",NA
"旧石器時代･貝塚時代前期〜琉球王朝",NA
"貝塚時代後期前半〜後半",NA
"グスク･近世･近代",NA
"グスク〜近代",NA
"先史時代･グスク時代･近世〜近代",NA
"先史時代･グスク時代･近世",NA
"先史時代･近世〜近代",NA
"貝塚時代前期･近世〜近代",NA
"近世初期〜",NA
"近世初期以前",NA
"貝塚時代前期･グスク〜近世･近代",NA
"グスク時代以降",NA
"貝塚時代前期･貝塚時代後期前半･グスク･琉球王朝",NA
"貝塚時代前期〜後期後半",NA
"旧石器時代･貝塚時代前期〜後期後半･グスク時代",NA
"貝塚時代前期〜グスク時代?",NA
"貝塚時代･グスク時代･近世･近代",NA
"貝塚時代前期･貝塚時代後期前半･貝塚時代後期後半･グスク時代･近世・近代",NA
"グスク時代･近世〜近代",NA
"貝塚時代中期･グスク時代〜近世",NA
"グスク時代以前",NA
"貝塚時代中期･グスク時代･古琉球〜近世",NA
"貝塚時代後期前半･貝塚時代後期後半",NA
"貝塚時代後期･近世･近現代",NA
"貝塚時代前期･貝塚時代後期前半･貝塚時代後期後半･グスク時代･近世･近代",NA
"貝塚時代後期前半･貝塚時代後期後半･グスク･近代･現代",NA
"貝塚時代後期前半･貝塚時代後期後半〜近代(戦前)",NA
"貝塚時代後期前半･貝塚時代後期後半･グスク時代",NA
"貝塚時代前期･近世･近代",NA
"貝塚時代前期〜後期･グスク時代",NA
"グスク時代･近･現代",NA
"グスク時代･近代･現代",NA
"無土器期(貝塚時代前期〜グスク時代)",NA
"貝塚時代前期･近世",NA
"琉球王朝･近世",NA
"グスク時代〜近世･近代",NA
"縄文時代･平安時代",NA
"縄文時代早期末葉〜前期前葉",NA
"縄文時代後期〜弥生",NA
"縄文時代前期前葉〜中期末葉",NA
"縄文時代後期中葉〜末葉",NA
"新石器時代〜現代(完新世)",NA
"縄文時代晩期前半〜中葉",NA
"縄文時代後･晩期",NA
"縄文時代後期後半〜晩期中葉",NA
"縄文時代後期後半〜晩期前半",NA
"縄文時代中期〜後期初頭",NA
"縄文時代草創期〜前期",NA
"縄文時代草創期〜中期",NA
"縄文時代晩期後半･弥生時代早期",NA
"後期旧石器時代・縄文時代",NA
"旧石器〜縄文",NA
"縄文時代早期前葉〜後葉",NA
"縄紋時代早期",NA
