"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
1680,"Charred Remain","炭化材(12年輪･ツツジ科)",NA,FALSE
1681,"Charred Remain","炭化材(16-20y)",NA,FALSE
1682,"Charred Remain","炭化材(2〜3年輪分)",NA,FALSE
1683,"Charred Remain","炭化材(21-25y)",NA,FALSE
1684,"Charred Remain","炭化材(26-30?y)",NA,FALSE
1685,"Charred Remain","炭化材(2年輪？:アカガシ亜属)",NA,FALSE
1686,"Charred Remain","炭化材(2片分割)",NA,FALSE
1687,"Charred Remain","炭化材(3年輪:針葉樹A)",NA,FALSE
1688,"Charred Remain","炭化材(3年輪)",NA,FALSE
1689,"Charred Remain","炭化材(4分の1割材･オオバギ近似種)",NA,FALSE
1690,"Charred Remain","炭化材(6-10y)",NA,FALSE
1691,"Charred Remain","炭化材(6年輪:マツ属)",NA,FALSE
1692,"Charred Remain","炭化材(アオキ)",NA,FALSE
1693,"Charred Remain","炭化材(アカガシ亜属，より外側〜5年輪分)",NA,FALSE
1694,"Charred Remain","炭化材(アカガシ亜属、シキミ)",NA,FALSE
1695,"Charred Remain","炭化材(アカガシ亜属)",NA,FALSE
1696,"Charred Remain","炭化材（アカガシ亜属）",NA,FALSE
1697,"Charred Remain","炭化材(アカガシ亜属またはクヌギ節)",NA,FALSE
1698,"Charred Remain","炭化材(アカマツ)",NA,FALSE
1699,"Charred Remain","炭化材(アカメガシワ)",NA,FALSE
1700,"Charred Remain","炭化材(アサダ、コナラ節、ケヤキ、カエデ属)",NA,FALSE
1701,"Charred Remain","炭化材(アサダ、ブナ属、モクレン属、トチノキ)",NA,FALSE
1702,"Charred Remain","炭化材(アサダ)",NA,FALSE
1703,"Charred Remain","炭化材(アジサイ属)",NA,FALSE
1704,"Charred Remain","炭化材(アスナロ，コナラ属コナラ節)",NA,FALSE
1705,"Charred Remain","炭化材(アスナロ)",NA,FALSE
1706,"Charred Remain","炭化材(アスナロ属)",NA,FALSE
