"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Wood","丸木杭(チドリノキ)",NA,FALSE
"Wood","丸木杭(ヌルデ)",NA,FALSE
"Wood","丸木杭(モモ)",NA,FALSE
"Wood","丸木杭(ヤナギ属)",NA,FALSE
"Wood","丸木舟1号(ヒノキ属)",NA,FALSE
"Wood","丸木舟2号(ヒノキ属)",NA,FALSE
"Wood","乾燥木材",NA,FALSE
"Shell","二枚貝",NA,FALSE
"Shell","二枚貝(アリソガイ)",NA,FALSE
"Shell","二枚貝(オオノガイ)",NA,FALSE
"Shell","二枚貝(サビシラトリガイ)",NA,FALSE
"Shell","二枚貝(ヤマトシジミ)",NA,FALSE
"Other Charred Remains","亜炭",NA,FALSE
"Charred Remain","亜炭？",NA,FALSE
"Human Bone","人骨",NA,FALSE
"Human Bone","人骨　",NA,FALSE
"Human Bone","人骨　四肢骨片",NA,FALSE
"Human Bone","人骨　大腿骨片",NA,FALSE
"Human Bone","人骨　尺骨",NA,FALSE
"Human Bone","人骨　左上顎切歯歯根部",NA,FALSE
"Human Bone","人骨　左大腿骨",NA,FALSE
"Human Bone","人骨　臼歯",NA,FALSE
"Human Bone","人骨　頭骨片",NA,FALSE
"Human Bone","人骨　頸骨",NA,FALSE
"Human Bone","人骨　骨盤",NA,FALSE
"Human Bone","人骨(下腿骨)",NA,FALSE
"Human Bone","人骨（下顎歯破片）",NA,FALSE
"Human Bone","人骨(右大腿骨)",NA,FALSE
"Human Bone","人骨(四肢骨)",NA,FALSE
"Human Bone","人骨(四肢骨片）",NA,FALSE
"Human Bone","人骨(大腿骨)",NA,FALSE
"Human Bone","人骨（大腿骨片）",NA,FALSE
"Human Bone","人骨（左肋骨片）",NA,FALSE
"Human Bone","人骨（手の指、基節骨）",NA,FALSE
"Human Bone","人骨(椎骨)",NA,FALSE
"Human Bone","人骨(歯)",NA,FALSE
"Human Bone","人骨(焼骨)　肋骨",NA,FALSE
"Human Bone","人骨(肋骨･手骨)",NA,FALSE
"Human Bone","人骨(肋骨･椎骨)",NA,FALSE
